,X,Y,AP1 RTT(mm),AP2 RTT(mm),AP3 RTT(mm),AP4 RTT(mm),AP5 RTT(mm),AP6 RTT(mm),AP7 RTT(mm),AP8 RTT(mm),AP9 RTT(mm),AP10 RTT(mm),AP11 RTT(mm),AP12 RTT(mm),AP13 RTT(mm),AP1 RSS(dBm),AP2 RSS(dBm),AP3 RSS(dBm),AP4 RSS(dBm),AP5 RSS(dBm),AP6 RSS(dBm),AP7 RSS(dBm),AP8 RSS(dBm),AP9 RSS(dBm),AP10 RSS(dBm),AP11 RSS(dBm),AP12 RSS(dBm),AP13 RSS(dBm),LOS APs
77,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27436.0,100000.0,12673.0,5161.0,8373.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-200.0,-77.0,-59.0,-65.0,None
78,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27241.0,20116.0,12641.0,100000.0,8391.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-101.0,-77.0,-200.0,-66.0,None
79,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27286.0,100000.0,12720.0,5102.0,8457.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-200.0,-77.0,-59.0,-66.0,None
80,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27523.0,25985.0,12751.0,100000.0,8419.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-92.0,-98.0,-77.0,-200.0,-66.0,None
81,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27450.0,22357.0,12713.0,5069.0,8358.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-100.0,-77.0,-60.0,-66.0,None
82,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27345.0,100000.0,12604.0,5170.0,8421.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-200.0,-77.0,-59.0,-65.0,None
83,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27572.0,100000.0,12513.0,100000.0,8412.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-200.0,-76.0,-200.0,-66.0,None
84,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27548.0,22245.0,12604.0,5142.0,8388.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-91.0,-101.0,-76.0,-60.0,-66.0,None
85,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27495.0,25863.0,12638.0,5076.0,8447.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-93.0,-99.0,-76.0,-60.0,-66.0,None
86,0.0,1.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,27513.0,25404.0,12748.0,5194.0,8457.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-92.0,-101.0,-77.0,-60.0,-65.0,None
